,date,TICKER,variance,sample-size
378,2022-02-04 19:00:00,AAL,3.6720437257583014e-06,12
379,2022-02-04 20:00:00,AAL,2.382670332551111e-06,12
380,2022-02-04 21:00:00,AAL,2.9521861007121e-07,12
381,2022-02-04 22:00:00,AAL,1.8466471261619586e-07,10
382,2022-02-04 23:00:00,AAL,1.5181386850742696e-07,9
383,2022-02-05 00:00:00,AAL,3.692388041389403e-07,10
384,2022-02-07 09:00:00,AAL,2.6519207440318152e-06,8
385,2022-02-07 10:00:00,AAL,5.051677834819646e-06,5
386,2022-02-07 11:00:00,AAL,0.0002585022292679634,7
387,2022-02-07 12:00:00,AAL,9.064692530451144e-06,12
388,2022-02-07 13:00:00,AAL,2.691542635947545e-06,12
389,2022-02-07 14:00:00,AAL,4.330379585131621e-05,12
390,2022-02-07 15:00:00,AAL,3.3489757002857355e-05,12
391,2022-02-07 16:00:00,AAL,9.42339158622104e-06,12
392,2022-02-07 17:00:00,AAL,8.967170919525616e-06,12
393,2022-02-07 18:00:00,AAL,2.5410437947873596e-06,12
394,2022-02-07 19:00:00,AAL,2.695075885560782e-06,12
395,2022-02-07 20:00:00,AAL,5.646537310365324e-06,12
396,2022-02-07 21:00:00,AAL,4.31882813039006e-07,12
397,2022-02-07 22:00:00,AAL,6.895152417434044e-07,12
398,2022-02-07 23:00:00,AAL,2.3244629658140755e-07,9
399,2022-02-08 00:00:00,AAL,4.021816290481079e-07,11
400,2022-02-08 09:00:00,AAL,1.6186952774463967e-06,5
401,2022-02-08 10:00:00,AAL,1.1399771195089666e-06,7
402,2022-02-08 11:00:00,AAL,8.694455464598264e-06,7
403,2022-02-08 12:00:00,AAL,8.561543439361458e-07,12
404,2022-02-08 13:00:00,AAL,1.475924190087157e-06,12
405,2022-02-08 14:00:00,AAL,4.072314081082255e-05,12
406,2022-02-08 15:00:00,AAL,1.7396127996362655e-05,12
407,2022-02-08 16:00:00,AAL,4.5404259894702565e-06,12
408,2022-02-08 17:00:00,AAL,9.327607926845078e-06,12
409,2022-02-08 18:00:00,AAL,2.146289710283318e-06,12
410,2022-02-08 19:00:00,AAL,3.13349101517367e-06,12
411,2022-02-08 20:00:00,AAL,2.7014100746900176e-06,12
412,2022-02-08 21:00:00,AAL,2.6767281776932754e-07,12
413,2022-02-08 22:00:00,AAL,2.0788173049622497e-07,12
414,2022-02-08 23:00:00,AAL,1.3655329005028868e-07,11
415,2022-02-09 00:00:00,AAL,3.480773462417225e-07,12
416,2022-02-09 09:00:00,AAL,3.8296458105282645e-06,10
417,2022-02-09 10:00:00,AAL,5.887367551051036e-07,6
418,2022-02-09 11:00:00,AAL,1.691049048602487e-06,7
419,2022-02-09 12:00:00,AAL,2.0311318576995362e-07,12
420,2022-02-09 13:00:00,AAL,9.545449111474018e-07,12
421,2022-02-09 14:00:00,AAL,9.342132702063527e-06,12
422,2022-02-09 15:00:00,AAL,9.789709268390241e-06,12
423,2022-02-09 16:00:00,AAL,1.8873073425929765e-06,12
424,2022-02-09 17:00:00,AAL,2.027960216609704e-06,12
425,2022-02-09 18:00:00,AAL,1.204913347252076e-06,12
426,2022-02-09 19:00:00,AAL,1.3512292082271126e-06,12
427,2022-02-09 20:00:00,AAL,3.6545903229932257e-06,12
428,2022-02-09 21:00:00,AAL,6.146194852829911e-07,12
429,2022-02-09 22:00:00,AAL,3.648409589148152e-07,12
430,2022-02-09 23:00:00,AAL,2.2722229482239504e-07,12
431,2022-02-10 00:00:00,AAL,1.1015411467048182e-06,12
